,code,Name,State,NPS.region,Park.type,Area_km2,NetworkCode,NetworkName,IandM,Aquatic.park,Level.1.ecoregion,Level.2.ecoregion,NPVULN.ecoregional.group,Air.pollution,At.risk.sp.ter,At.risk.sp.aqu,Back.velocity,Biome.shift,Drought.sum,Early.spring,Env.Diversity,Exotic.sp,Fire.change,Fire.hazard,Forest.pest,Forward.velocity,Invasion.risk,Landscape.integrity,Moisture,PC2,Precipitation,Sea.level.change,Snow,Temp.change,Temp.exceedance,Ter.tot.vul.score,Aqu.tot.vul.score,Nliv.tot.vul.score,Ter.national.quartile,Aqu.national.quartile,Nliv.national.quartile,Ter.ecoregional.quartile,Aqu.ecoregional.quartile,Nliv.ecoregional.quartile,High.impact.current.fire,High.impact.projected.fire,High.impact.fire.combined,High.impact.summer.drought,High.impact.sea.level.or.surge,High.impact.slr,High.impact.storm.surge,High.impact.forest.pest,High.impact.at.least.one,High.impact.types,National.priority,Ecoregional.priority,Comprehensive.nrva,NRVA.any,IVA.any,CRVA.any,CCVA.types
174,GRSA,Great Sand Dunes National Park,CO,IM,National Park,435.3628485,ROMN,Rocky Mountain Network,1,1,NORTHWESTERN FORESTED MOUNTAINS,WESTERN CORDILLERA,NORTHWESTERN FORESTED MOUNTAINS,0.437431609,0.154450993,0,0.104019112,0.6,0.167366721,0.82918362,0.394251571,0.067896045,0.507038783,0.291388518,0.472046363,0.337478695,0.833333333,0.100571725,0.635463549,0.52706525,0.382045791,0,0.695595054,0.678356652,0.247470171,2.162805936,1.956213678,1.549069509,2,2,2,3,2,1,0,1,0_1,0,0,0,0,1,1,Pest,0,0,1,1,0,0,nrva_0_0
175,GRSA,Great Sand Dunes National Preserve,CO,IM,National Preserve,168.7232622,ROMN,Rocky Mountain Network,1,1,NORTHWESTERN FORESTED MOUNTAINS,WESTERN CORDILLERA,NORTHWESTERN FORESTED MOUNTAINS,0.437431609,0.154450993,0,0.104019112,0.6,0.167366721,0.82918362,0.394251571,0.067896045,0.507038783,0.291388518,0.472046363,0.337478695,0.833333333,0.100571725,0.635463549,0.52706525,0.382045791,0,0.695595054,0.678356652,0.247470171,2.162805936,1.956213678,1.549069509,2,2,2,3,2,1,0,1,0_1,0,0,0,0,1,1,Pest,0,0,1,1,0,0,nrva_0_0
176,GRSM,Great Smoky Mountains National Park,NC,SE,National Park,2098.244029,APHN,Appalachian Highlands Network,1,1,EASTERN TEMPERATE FORESTS,OZARK/OUACHITA-APPALACHIAN FORESTS,INTERIOR SOUTHEAST PLAINS AND FOREST,0.923287071,0.467608696,1,0.102406463,0.4,0.046428246,0.746057162,0.360668411,0.228216239,0.169141609,0.311073322,0.188307114,0.197884676,1,0.394038479,0.108134215,0.108291411,0.264506733,0,0.827769917,0.603987532,0.368650371,2.148738205,2.192994782,1.482387932,2,3,2,2,3,2,0,1,0_1,0,0,0,0,1,1,Pest,0,0,0,1,0,0,0_0_0
177,GREE,Greenbelt Park,MD,NC,Other Designation,4.650319429,NCRN,National Capital Region Network,1,NA,EASTERN TEMPERATE FORESTS,SOUTHEASTERN USA PLAINS,INTERIOR SOUTHEAST PLAINS AND FOREST,1,0.350623152,NA,0.194973375,0.6,0.22356622,0.829810408,0.684118104,0.10043224,0.088097731,0.125971451,0.028374143,0.097034912,1,0.846795518,0.403503344,0.223645141,0.505697335,0,0.907917523,0.697468769,0.189238245,2.51071425,NA,1.698640432,4,NA,3,4,NA,4,0,0,0_0,0,0,0,0,0,0,None,1,1,0,1,0,0,0_0_0
178,GUMO,Guadalupe Mountains National Park,TX,IM,National Park,352.9848284,CHDN,Chihuahuan Desert Network,1,1,NORTH AMERICAN DESERTS,WARM DESERTS,NORTH AMERICAN DESERTS AND SEMIARID,0.588339621,0.23057763,0,0.210715795,0.7,0.325715126,0.82339203,0.524039783,0.045102587,0.223750685,0.261855516,0.079252691,0.132246529,0.333333333,0.031912869,0.579124439,0.578644527,0.177096268,0,0,0.390457501,0.363077716,1.798560522,2.046889828,1.234898934,1,2,1,1,3,1,0,0,0_0,0,0,0,0,0,0,None,0,0,0,0,0,0,0_0_0
179,GUCO,Guilford Courthouse National Military Park,NC,SE,National Military Park,0.907841442,CUPN,Cumberland Piedmont Network,1,NA,EASTERN TEMPERATE FORESTS,SOUTHEASTERN USA PLAINS,INTERIOR SOUTHEAST PLAINS AND FOREST,1,0.061039193,NA,0.084697886,0.4,0.095770102,0.734679061,0.734236876,0.196242819,0.147093535,0.302225569,0.044464177,0.071012889,1,0.689536605,0.204938388,0.130105712,0.34206497,0,0,0.585791481,0.301657963,2.12202311,NA,1.328468,2,NA,1,2,NA,2,0,1,0_1,0,0,0,0,0,0,None,0,0,0,1,0,0,0_0_0
180,GUIS,Gulf Islands National Seashore,FL,SE,National Seashore,527.7603849,GULN,Gulf Coast Network,1,1,EASTERN TEMPERATE FORESTS,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS,SOUTHEASTERN AND TEXAS COASTAL PLAIN,1,0.344507089,0.25,0.808882939,0.266666667,0.027210915,0.248286874,0.829990714,0.115990955,0.128719305,0.376266418,0.054091256,1,1,0.566559154,0.282308676,0.407997562,0.077661851,0.684973516,0,0.244219115,0.487355717,2.471722519,2.088030748,1.487704394,4,3,2,4,2,3,1,0,1_0,0,1,1,1,0,1,Fire_SLR,1,0,0,1,1,0,0_iva_0
181,HAFO,Hagerman Fossil Beds National Monument,ID,PW,National Monument,17.72656303,UCBN,Upper Columbia Basin Network,1,1,NORTH AMERICAN DESERTS,COLD DESERTS,NORTH AMERICAN DESERTS AND SEMIARID,0.337561644,0.005538293,0,0.431023057,0.4,0.832265794,0.398802607,0.590697266,0.229674185,0.467812917,0.714939183,0,0.160097764,0.666666667,0.300338998,0.676443886,0.094897759,0.523569912,0,0.919354075,0.810988143,0.114059994,2.293477648,2.238841724,1.95903008,3,4,4,4,4,4,1,1,1_1,1,0,0,0,0,1,Fire_Drought,1,1,0,0,0,0,0_0_0
182,HALE,Haleakala National Park,HI,PW,National Park,136.098254,PACN,Pacific Islands Network,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,1,1,nrva_iva_crva
183,HAGR,Hamilton Grange National Memorial,NY,NE,National Memorial,0.007094899,NA,NA,NA,NA,EASTERN TEMPERATE FORESTS,SOUTHEASTERN USA PLAINS,INTERIOR SOUTHEAST PLAINS AND FOREST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.647644152,NA,NA,3,NA,NA,3,0,0,2_0,0,0,0,0,0,0,None,0,0,0,0,1,0,0_iva_0
184,HAMP,Hampton National Historic Site,MD,NE,National Historic Site,0.250932491,NA,NA,NA,NA,EASTERN TEMPERATE FORESTS,SOUTHEASTERN USA PLAINS,INTERIOR SOUTHEAST PLAINS AND FOREST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.689703787,NA,NA,3,NA,NA,4,0,0,0_0,0,0,0,0,0,0,None,0,0,0,0,0,0,0_0_0
185,HAFE,Harpers Ferry National Historical Park,WV,NC,National Historical Park,15.02746252,NCRN,National Capital Region Network,1,1,EASTERN TEMPERATE FORESTS,OZARK/OUACHITA-APPALACHIAN FORESTS,INTERIOR SOUTHEAST PLAINS AND FOREST,1,0.390349111,0,0.390376138,0.4,0.203734725,0.857903749,0.580635701,0.320036591,0.079234258,0.240673025,0.117888717,0.055448398,1,0.555751324,0.380495073,0.259996427,0.534965586,0,0.95377878,0.741055589,0.201670207,2.463728535,2.225469352,1.737637498,4,3,4,4,4,4,0,0,0_0,0,0,0,0,1,1,Pest,1,1,0,1,1,0,0_iva_0
186,HSTR,Harry S Truman National Historic Site,MO,MW,National Historic Site,0.041938332,NA,NA,NA,NA,GREAT PLAINS,TEMPERATE PRAIRIES,GREAT PLAINS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.837270727,NA,NA,4,NA,NA,3,0,1,0_1,0,0,0,0,0,0,None,1,0,0,0,0,0,0_0_0
187,HAVO,Hawai'i Volcanoes National Park,HI,PW,National Park,1446.30303,PACN,Pacific Islands Network,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,1,0,0_iva_0
188,HEHO,Herbert Hoover National Historic Site,IA,MW,National Historic Site,0.76086962,HTLN,Heartland Network,1,NA,GREAT PLAINS,TEMPERATE PRAIRIES,GREAT PLAINS,0.80977633,0.430478468,NA,0.254908242,0.8,0.304657728,0.873271261,0.668903712,0.143375681,0.100245844,0.06530665,0.074771126,0.537800515,1,0.627384203,0.460349962,0.620076553,0.591455036,0,0.90052058,0.822362521,0.197180464,2.654150392,NA,1.789694378,4,NA,4,4,NA,3,0,0,0_0,0,0,0,0,0,0,None,1,1,0,0,0,0,0_0_0
